time,rpm_data,
21.217,0,
21.218,0,
21.219,0,
21.22,0,
21.221,0,
21.222,0,
21.223,0,
21.223,0,
21.224,0,
21.225,0,
21.226,0,
21.226,0,
21.227,0,
21.228,0,
21.229,0,
21.231,0,
21.232,0,
21.233,0,
21.234,0,
21.235,0,
21.236,0,
21.237,0,
21.238,0,
21.239,0,
21.24,0,
21.24,0,
21.241,0,
21.242,0,
21.243,0,
21.243,0,
21.244,0,
21.245,0,
21.246,0,
21.247,0,
21.249,0,
21.25,0,
21.251,0,
21.252,0,
21.253,0,
21.254,0,
21.255,0,
21.256,0,
21.256,0,
21.257,0,
21.258,0,
21.259,0,
21.259,0,
21.26,0,
21.261,0,
21.262,0,
21.262,0,
21.264,0,
21.265,0,
21.266,0,
21.267,0,
21.268,0,
21.269,0,
21.27,0,
21.271,0,
21.272,0,
21.273,0,
21.274,0,
21.275,0,
21.276,0,
21.276,0,
21.277,0,
21.278,0,
21.279,0,
21.28,0,
21.281,0,
21.282,0,
21.283,0,
21.284,0,
21.286,0,
21.288,0,
21.289,0,
21.29,0,
21.291,0,
21.292,0,
21.293,0,
21.294,0,
21.295,0,
21.296,0,
21.297,0,
21.298,0,
21.299,0,
21.301,0,
21.302,0,
21.304,0,
21.305,0,
21.305,0,
21.306,0,
21.307,0,
21.308,0,
21.309,0,
21.309,0,
21.31,0,
21.311,0,
21.312,0,
21.313,0,
21.314,0,
21.316,0,
21.317,0,
21.318,0,
21.319,0,
21.32,0,
21.321,0,
21.322,0,
21.324,0,
21.325,0,
21.326,0,
21.327,0,
21.328,0,
21.329,0,
21.33,0,
21.331,0,
21.332,0,
21.333,0,
21.334,0,
21.336,0,
21.337,0,
21.337,0,
21.338,0,
21.339,0,
21.34,0,
21.341,0,
21.342,0,
21.343,0,
21.344,0,
21.345,0,
21.347,0,
21.348,0,
21.349,0,
21.35,0,
21.351,0,
21.352,0,
21.353,0,
21.354,0,
21.355,0,
21.356,0,
21.356,0,
21.357,0,
21.358,0,
21.359,0,
21.36,0,
21.36,0,
21.361,0,
21.362,0,
21.363,0,
21.364,0,
21.365,0,
21.367,0,
21.368,0,
21.369,0,
21.369,0,
21.37,0,
21.371,0,
21.372,0,
21.373,0,
21.374,0,
21.375,0,
21.375,0,
21.376,0,
21.377,0,
21.378,0,
21.379,0,
21.38,0,
21.381,0,
21.382,0,
21.383,0,
21.384,0,
21.385,0,
21.386,0,
21.387,0,
21.388,0,
21.388,0,
21.389,0,
21.39,0,
21.391,0,
21.392,0,
21.392,0,
21.393,0,
21.394,0,
21.395,0,
21.396,0,
21.398,0,
21.399,0,
21.4,0,
21.401,0,
21.402,0,
21.403,0,
21.404,0,
21.405,0,
21.406,0,
21.407,0,
21.408,0,
21.408,0,
21.409,0,
21.41,0,
21.411,0,
21.412,0,
21.413,0,
21.414,0,
21.415,0,
21.416,0,
21.418,0,
21.419,0,
21.42,0,
21.421,0,
21.421,0,
21.422,0,
21.423,0,
21.424,0,
21.425,0,
21.426,0,
21.427,0,
21.428,0,
21.429,0,
21.43,0,
21.431,0,
21.432,0,
21.433,0,
21.434,0,
21.436,0,
21.437,0,
21.438,0,
21.439,0,
21.44,0,
21.441,0,
21.442,0,
21.443,0,
21.444,0,
21.445,0,
21.446,0,
21.447,0,
21.448,0,
21.45,0,
21.451,0,
21.452,0,
21.453,0,
21.454,0,
21.455,0,
21.456,0,
21.457,0,
21.458,0,
21.46,0,
21.461,0,
21.461,0,
21.462,0,
21.463,0,
21.465,0,
21.466,0,
21.467,0,
21.468,0,
21.469,0,
21.47,0,
21.471,0,
21.472,0,
21.473,0,
21.474,0,
21.475,0,
21.476,0,
21.477,0,
21.478,0,
21.479,0,
21.48,0,
21.481,0,
21.482,0,
21.483,0,
21.484,0,
21.485,0,
21.486,0,
21.486,0,
21.487,0,
21.488,0,
21.489,0,
21.49,0,
21.491,0,
21.492,0,
21.492,0,
21.493,0,
21.494,0,
21.495,0,
21.496,0,
21.497,0,
21.498,0,
21.499,0,
21.5,0,
21.501,0,
21.502,0,
21.503,0,
21.504,0,
21.505,0,
21.505,0,
21.506,0,
21.507,0,
21.508,0,
21.509,0,
21.51,0,
21.511,0,
21.511,0,
21.512,0,
21.513,0,
21.514,0,
21.515,0,
21.516,0,
21.517,0,
21.518,0,
21.519,0,
21.52,0,
21.521,0,
21.522,0,
21.523,0,
21.524,0,
21.524,0,
21.525,0,
21.526,0,
21.527,0,
21.528,0,
21.529,0,
21.53,0,
21.531,0,
21.532,0,
21.533,0,
21.534,0,
21.535,0,
21.536,0,
21.537,0,
21.538,0,
21.539,0,
21.54,0,
21.541,0,
21.542,0,
21.542,0,
21.543,0,
21.544,0,
21.545,0,
21.546,0,
21.547,0,
21.548,0,
21.549,0,
21.55,0,
21.551,0,
21.552,0,
21.553,0,
21.554,0,
21.555,0,
21.555,0,
21.556,0,
21.557,0,
21.558,0,
21.559,0,
21.56,0,
21.561,0,
21.561,0,
21.562,0,
21.563,0,
21.565,0,
21.566,0,
21.567,0,
21.568,0,
21.569,0,
21.569,0,
21.57,0,
21.571,0,
21.572,0,
21.573,0,
21.574,0,
21.575,0,
21.576,0,
21.577,0,
21.577,0,
21.578,0,
21.579,0,
21.58,0,
21.581,0,
21.582,0,
21.583,0,
21.584,0,
21.585,0,
21.586,0,
21.587,0,
21.587,0,
21.588,0,
21.589,0,
21.589,0,
21.59,0,
21.591,0,
21.592,0,
21.592,0,
21.593,0,
21.594,0,
21.594,0,
21.595,0,
21.596,0,
21.597,0,
21.598,0,
21.599,0,
21.6,0,
21.601,0,
21.601,0,
21.602,0,
21.603,0,
21.604,0,
21.604,0,
21.605,0,
21.606,0,
21.607,0,
21.608,0,
21.608,0,
21.609,0,
21.61,0,
21.61,0,
21.611,0,
21.611,0,
21.612,0,
21.613,0,
21.614,0,
21.615,0,
21.616,0,
21.617,0,
21.618,0,
21.619,0,
21.619,0,
21.62,0,
21.621,0,
21.621,0,
21.622,0,
21.623,0,
21.624,0,
21.624,0,
21.625,0,
21.626,0,
21.627,0,
21.627,0,
21.628,0,
21.629,0,
21.63,0,
21.631,0,
21.632,0,
21.633,0,
21.633,0,
21.635,0,
21.636,0,
21.637,0,
21.638,0,
21.638,0,
21.639,0,
21.64,0,
21.641,0,
21.642,0,
21.643,0,
21.644,0,
21.645,0,
21.646,0,
21.647,0,
21.648,0,
21.649,0,
21.65,0,
21.652,0,
21.654,0,
21.655,0,
21.656,0,
21.657,0,
21.657,0,
21.658,0,
21.659,0,
21.66,0,
21.66,0,
21.661,0,
21.662,0,
21.663,0,
21.664,0,
21.665,0,
21.667,0,
21.668,0,
21.669,0,
21.669,0,
21.67,0,
21.671,0,
21.672,0,
21.672,0,
21.673,0,
21.674,0,
21.675,0,
21.676,0,
21.677,0,
21.678,0,
21.679,0,
21.68,0,
21.681,0,
21.682,0,
21.683,0,
21.684,0,
21.686,0,
21.687,0,
21.687,0,
21.688,0,
21.689,0,
21.69,0,
21.69,0,
21.691,0,
21.692,0,
21.693,0,
21.694,0,
21.695,0,
21.696,0,
21.697,0,
21.698,0,
21.699,0,
21.701,0,
21.702,0,
21.703,0,
21.704,0,
21.705,0,
21.706,0,
21.707,0,
21.708,0,
21.709,0,
21.71,0,
21.711,0,
21.712,0,
21.713,0,
21.714,0,
21.715,0,
21.716,0,
21.717,0,
21.719,0,
21.72,0,
21.72,0,
21.721,0,
21.723,0,
21.724,0,
21.725,0,
21.726,0,
21.726,0,
21.727,0,
21.728,0,
21.729,0,
21.73,0,
21.731,0,
21.732,0,
21.733,0,
21.735,0,
21.736,0,
21.737,0,
21.738,0,
21.739,0,
21.74,0,
21.74,0,
21.741,0,
21.742,0,
21.743,0,
21.744,0,
21.744,0,
21.745,0,
21.746,0,
21.748,0,
21.749,0,
21.75,0,
21.751,0,
21.752,0,
21.752,0,
21.753,0,
21.754,0,
21.755,0,
21.755,0,
21.756,0,
21.757,0,
21.758,0,
21.758,0,
21.759,0,
21.76,0,
21.761,0,
21.762,0,
21.763,0,
21.764,0,
21.765,0,
21.766,0,
21.767,0,
21.768,0,
21.769,0,
21.77,0,
21.771,0,
21.772,0,
21.773,0,
21.774,0,
21.775,0,
21.776,0,
21.777,0,
21.778,0,
21.779,0,
21.78,0,
21.781,0,
21.782,0,
21.783,0,
21.784,0,
21.785,0,
21.786,0,
21.787,0,
21.788,0,
21.789,0,
21.79,0,
21.791,0,
21.792,0,
21.793,0,
21.794,0,
21.795,0,
21.796,0,
21.797,0,
21.798,0,
21.799,0,
21.8,0,
21.801,0,
21.802,0,
21.803,0,
21.803,0,
21.804,0,
21.805,0,
21.806,0,
21.807,0,
21.808,0,
21.809,0,
21.81,0,
21.811,0,
21.812,0,
21.813,0,
21.814,0,
21.815,0,
21.816,0,
21.817,0,
21.818,0,
21.819,0,
21.82,0,
21.821,0,
21.822,0,
21.823,0,
21.824,0,
21.825,0,
21.826,0,
21.827,0,
21.828,0,
21.829,0,
21.83,0,
21.831,0,
21.832,0,
21.833,0,
21.834,0,
21.835,0,
21.836,0,
21.837,0,
21.838,0,
21.838,0,
21.839,0,
21.84,0,
21.841,0,
21.842,0,
21.843,0,
21.844,0,
21.845,0,
21.846,0,
21.847,0,
21.848,0,
21.849,0,
21.85,0,
21.851,0,
21.852,0,
21.853,0,
21.854,0,
21.855,0,
21.856,0,
21.857,0,
21.857,0,
21.858,0,
21.859,0,
21.861,0,
21.861,0,
21.862,0,
21.864,0,
21.865,0,
21.866,0,
21.867,0,
21.868,0,
21.869,0,
21.869,0,
21.87,0,
21.871,0,
21.872,0,
21.873,0,
